RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 91 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
9296,"Study on Chongqing undertake industrial transformation from Five Provinces and One City of the Eastern (B/T) Business - Economics; (B/T) Urban Planning; (HUM) Architecture; (SOC) Education;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) College of Social and Public Administration, Chongqing Technology and Business University,Chongqing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Jie-Ji,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5885291,Conference Abstract/Paper Retraction,China No
8797,"The Fission and Integration of Architecture Design Inspiration — The New Concept of Architecture Design Teaching Organization (ENV) Environmental Sciences; (HUM) Architecture; (SOC) Education;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Wuhan University Institute of Urban Design, Wuhan, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Wang Yan Song Ni Tao,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5887208,Conference Abstract/Paper Retraction,China No
9119,"The Study of Energy Saving Technology for Different Regions (B/T) Technology; (HUM) Architecture;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Engineering Institute of Crops of Engineers, PLA University of Science, Nanjing, China Jiangsu Economic & Trade Polytechnic, Nanjing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Cui Jianning Li Yong Han Xu Mao Jinfeng,05/06/2011 00000000 10.1109/ICEBEG.2011.5881435,06/16/2011 00000000 10.1109/ICEBEG.2011.5881435,Conference Abstract/Paper Retraction,China No
9364,"Using Game Theory to Analyze Zhejiang Cultural Tourism and Protection of Traditional Architectural Culture Resources in Economic Development (B/T) Business - Economics; (HUM) Architecture; (SOC) Education;  2011 International Conference on E-Business and E-Government (ICEE) ---Institute of Electrical and Electronics Engineers (IEEE) Faculty of Mechanical Engineering and Mechanics, Ningbo University, Ningbo, China Art School, Ningbo University, Ningbo, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Yuexi Zhou Ximiao Zhang,05/06/2011,06/16/2011  10.1109/ICEBEG.2011.5886766,Conference Abstract/Paper Retraction,China No
12560,"City Color (B/T) Urban Planning; (HUM) Architecture;  2010 IEEE 11th International Conference on Computer-Aided Industrial Design & Conceptual Design 1 ---Institute of Electrical and Electronics Engineers (IEEE) Lu Xun Academy of Fine Arts, Dalian Campus, Products and Exhibition Studio, China Dalian University, College of Fine Arts, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Weidong Wang,11/17/2010,01/06/2011  10.1109/CAIDCD.2010.5681914,Conference Abstract/Paper Retraction,China No
12547,"The Combination of Classical Art and Modern Art—On the Use of the Elements of Suzhou Gardens in the Architecture by Leoh Ming Pei (HUM) Architecture; (HUM) Arts - General; (PHY) Engineering - General;  2010 IEEE 11th International Conference on Computer-Aided Industrial Design & Conceptual Design 1 ---Institute of Electrical and Electronics Engineers (IEEE) Arts Department, Huangshi Technology Institute, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Yeilei Chen,11/17/2010,01/06/2011  10.1109/CAIDCD.2010.5681839,Conference Abstract/Paper Retraction,China No
10719,"Application of Improved Genetic Algorithm in Prestressed Aqueduct Structural Optimal Design (B/T) Technology; (HUM) Architecture; (PHY) Engineering - Structural; (PHY) Mathematics;  2010 International Conference on Computer Application and System Modeling (ICCASM 2010) ---Institute of Electrical and Electronics Engineers (IEEE) College of Civil Engineering & Architecture, China Three Gorges University, Yichang 443002, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Wei Yao Ping Huang Hui Peng,10/22/2010,11/04/2010  10.1109/ICCASM.2010.5619400,Conference Abstract/Paper Retraction,China No
11069,"Numerical simulation of overall stability of concrete filled steel tube arch bridge (B/T) Computer Science; (HUM) Architecture; (PHY) Engineering - Structural; (PUB) Society/Association Journals;  2010 International Conference on Computer Application and System Modeling (ICCASM 2010) ---Institute of Electrical and Electronics Engineers (IEEE) School of Civil Engineering and Architecture, Nanyang Normal University, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information,Fangcun Song Hu Jia,10/22/2010  10.1109/ICCASM.2010.5619365,11/04/2010  10.1109/ICCASM.2010.5619365,Conference Abstract/Paper Retraction,China No
11102,"Optimization and Simulation of Arch Dam Construction Based on Sensitivity Analysis (B/T) Computer Science; (B/T) Technology; (HUM) Architecture; (PHY) Mathematics;  2010 International Conference on Computer Application and System Modeling (ICCASM 2010) ---Institute of Electrical and Electronics Engineers (IEEE) College of Hydraulic & Environmental Engineering, China Three Gorges University, Yichang, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Zhang Hengda Yan Qiao Xu Xiaodong Lu Wei,10/22/2010,11/04/2010  10.1109/ICCASM.2010.5619125,Conference Abstract/Paper Retraction,China No
12355,"Building Deformation Analysis Based on the Residual Gray Combination Model (HUM) Architecture; (PHY) Engineering - Structural; (PHY) Mathematics;  2010 2nd IITA International Conference on Geoscience and Remote Sensing ---Institute of Electrical and Electronics Engineers (IEEE) College of Civil and Architectural Engineering, Guangxi University, Nanning, China Yunnan Zhongzheng Housing Mapping Co. Ltd, Kunming, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Chen Weiqing Chen Jiajia Tian Haitao,08/28/2010,10/14/2010  10.1109/IITA-GRS.2010.5602971,Conference Abstract/Paper Retraction,China No
12675,"Analysis on the “Government + Market” Supply Mechanism of Rural Information Service (B/T) Business - Economics; (B/T) Government; (HUM) Architecture; (PHY) Mathematics;  2010 International Conference on E-Business and E-Government ---Institute of Electrical and Electronics Engineers (IEEE) School of Economics. & Management, CQUPT, Chongqing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Huang Youlan,05/07/2010,09/30/2010  10.1109/ICEE.2010.1280,Conference Abstract/Paper Retraction,China No
12060,"Countermeasures of Payment Risk in Construction Contract (B/T) Business - Economics; (B/T) Business - Management; (HUM) Architecture; (PHY) Mathematics;  2010 International Conference on E-Business and E-Government ---Institute of Electrical and Electronics Engineers (IEEE) English Education, Handan College, Handan, China School of Economics & Management, Hebei University of Engineering, Handan, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Wang Fei Wang Shilei Guo Yan,05/07/2010,09/30/2010  10.1109/ICEE.2010.1287,Conference Abstract/Paper Retraction,China No
11959,"Farmers Land Cooperatives Mechanism of Land Compensation in China (B/T) Government; (BLS) Agriculture; (HUM) Architecture; (PHY) Mathematics;  2010 International Conference on E-Business and E-Government ---Institute of Electrical and Electronics Engineers (IEEE) China Center for Public Case Study, Tsinghua Univ. Beijing, Beijing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Xuefeng Pan,05/07/2010,09/30/2010  10.1109/ICEE.2010.1296,Conference Abstract/Paper Retraction,China No
12057,"Investigation and Analysis of Morbidity Phenomena in Engineering Project in China (B/T) Business - Management; (B/T) Government; (HUM) Architecture; (PHY) Engineering - Mechanical; (PHY) Mathematics;  2010 International Conference on E-Business and E-Government ---Institute of Electrical and Electronics Engineers (IEEE) Department of Construction Management, North China Electrical Power University, Beijing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information,Hou Xueliang,05/07/2010,09/30/2010  10.1109/ICEE.2010.1046,Conference Abstract/Paper Retraction,China No
